Periodo;ID;Especialidad del momento;Codigo curso;Nombre curso;Nota
201220;135;INGE;ICE3210;ANALISIS DE CIRCUITOS;5.1
201220;135;INGE;ICE3210;ANALISIS DE CIRCUITOS;5.1
201220;135;INGE;ING2152;MECANICA RACIONAL II;5.6
201220;135;INGE;ING2152;MECANICA RACIONAL II;5.6
201220;135;INGE;ING3520;ESTADISTICA APLICADA;5.5
201220;135;INGE;ING3520;ESTADISTICA APLICADA;5.5
201220;135;INGE;IOC3150;MATEMATICAS APLICADAS;5.2
201220;135;INGE;IOC3150;MATEMATICAS APLICADAS;5.2
201220;916;INGO;CEG2006;DE BEETHOVEN A PIAZZOLA;6.1
201220;916;INGO;CEG2006;DE BEETHOVEN A PIAZZOLA;6.1
201220;916;INGO;ING5230;ORAL PERFORMANCE;5.1
201220;916;INGO;ING5230;ORAL PERFORMANCE;5.1
201220;916;INGO;ING5411;CRITICAL THOUGHT;5.7
201220;916;INGO;ING5411;CRITICAL THOUGHT;5.7
201220;916;INGO;ING5510;MICROECONOMIA;5.9
201220;916;INGO;ING5510;MICROECONOMIA;5.9
201220;916;INGO;ING6410;PROFESSIONAL PAPERS IN ENGINEERING;5.8
201220;916;INGO;ING6410;PROFESSIONAL PAPERS IN ENGINEERING;5.8
201220;916;INGO;IOC4110;MECANICA DE FLUIDOS APLICADA;5.4
201220;916;INGO;IOC4110;MECANICA DE FLUIDOS APLICADA;5.4
201220;916;INGO;IOC4140;SISTEMA DE TRANSPORTES;5.3
201220;916;INGO;IOC4140;SISTEMA DE TRANSPORTES;5.3
201220;816;INGO;CEG1010;HISTORIA DE LA UNIVERSIDAD:DE SOCRATES A WIKIPEDIA;5.4
201220;816;INGO;CEG1010;HISTORIA DE LA UNIVERSIDAD:DE SOCRATES A WIKIPEDIA;5.4
201220;816;INGO;FRM1100;TEOLOGIA I;4.3
201220;816;INGO;FRM1100;TEOLOGIA I;4.3
201220;816;INGO;ING2121;MECANICA RACIONAL I;4.1
201220;816;INGO;ING2121;MECANICA RACIONAL I;4.1
201220;816;INGO;ING2140;ALGEBRA LINEAL;5.0
201220;816;INGO;ING2140;ALGEBRA LINEAL;5.0
201220;816;INGO;INM0002;INGLES PARA PROPOSITOS ACADEMICOS II;5.7
201220;816;INGO;INM0002;INGLES PARA PROPOSITOS ACADEMICOS II;5.7
201220;138126;INGI;ING5230;ORAL PERFORMANCE;5.8
201220;138126;INGI;ING5230;ORAL PERFORMANCE;5.8
201220;138126;INGI;ING6210;MEMORIA;7.0
201220;138126;INGI;ING6210;MEMORIA;7.0
201220;931535;INGI;ING3120;MECANICA DE FLUIDOS;4.2
201220;931535;INGI;ING3120;MECANICA DE FLUIDOS;4.2
201220;931535;INGI;ING4130;BASES DE DATOS APLICADAS;1.0
201220;931535;INGI;ING4130;BASES DE DATOS APLICADAS;1.0
201220;6615148;INGO;ING3120;MECANICA DE FLUIDOS;5.0
201220;6615148;INGO;ING3120;MECANICA DE FLUIDOS;5.0
201220;6615148;INGO;ING5411;CRITICAL THOUGHT;4.2
201220;6615148;INGO;ING5411;CRITICAL THOUGHT;4.2
201220;6615148;INGO;ING5510;MICROECONOMIA;1.0
201220;6615148;INGO;ING5510;MICROECONOMIA;1.0
201220;6615148;INGO;IOC4130;GEOLOGIA APLICADA A LA INGENIERIA;5.3
201220;6615148;INGO;IOC4130;GEOLOGIA APLICADA A LA INGENIERIA;5.3
201220;695;INGO;ING5510;MICROECONOMIA;4.6
201220;695;INGO;ING5510;MICROECONOMIA;4.6
201220;695;INGO;IOC3150;MATEMATICAS APLICADAS;4.0
201220;695;INGO;IOC3150;MATEMATICAS APLICADAS;4.0
201220;695;INGO;IOC4140;SISTEMA DE TRANSPORTES;4.5
201220;695;INGO;IOC4140;SISTEMA DE TRANSPORTES;4.5
201220;695;INGO;IOC5320;CONSTRUCCION PESADA;5.7
201220;695;INGO;IOC5320;CONSTRUCCION PESADA;5.7
201220;7164276;INGE;ICE0657;ROBOTICA;4.8
201220;7164276;INGE;ICE0657;ROBOTICA;4.8
201220;7164276;INGE;ICE0665;CONTROL OPTIMO;5.2
201220;7164276;INGE;ICE0665;CONTROL OPTIMO;5.2
201220;7164276;INGE;ICE0666;COMUNICACIONES INALAMBRICAS;4.9
201220;7164276;INGE;ICE0666;COMUNICACIONES INALAMBRICAS;4.9
201220;7164276;INGE;ICE5220;PROYECTO DE DISEÑO ELECTRICO;4.8
201220;7164276;INGE;ICE5220;PROYECTO DE DISEÑO ELECTRICO;4.8
201220;7164276;INGE;ING4120;TEAM WORK IN ENGINEERING;4.3
